date,folio_count_cr
2022-01-31,13.26
2022-02-28,13.53
2022-03-31,13.81
2022-04-30,14.08
2022-05-31,14.35
2022-06-30,14.63
2022-07-31,14.9
2022-08-31,15.18
2022-09-30,15.45
2022-10-31,15.72
2022-11-30,16.0
2022-12-31,16.27
2023-01-31,16.54
2023-02-28,16.82
2023-03-31,17.09
2023-04-30,17.36
2023-05-31,17.64
2023-06-30,17.91
2023-07-31,18.19
2023-08-31,18.46
2023-09-30,18.73
2023-10-31,19.01
2023-11-30,19.28
2023-12-31,19.55
2024-01-31,19.83
2024-02-29,20.1
2024-03-31,20.37
2024-04-30,20.65
2024-05-31,20.92
2024-06-30,21.19
2024-07-31,21.47
2024-08-31,21.74
2024-09-30,22.02
2024-10-31,22.29
2024-11-30,22.56
2024-12-31,22.84
2025-01-31,23.11
2025-02-28,23.38
2025-03-31,23.66
2025-04-30,23.93
2025-05-31,24.2
2025-06-30,24.48
2025-07-31,24.75
2025-08-31,25.03
2025-09-30,25.3
2025-10-31,25.57
2025-11-30,25.85
2025-12-31,26.12
