investor_id,amfi_code,transaction_date,transaction_type,amount,units,kyc_status,state
INV1000,119092,2025-12-09,Redemption,87972.27,602.009,Verified,Maharashtra
INV1001,120841,2025-07-27,Lumpsum,17119.88,114.605,Verified,Maharashtra
INV1002,118632,2025-07-11,Redemption,23441.63,169.689,Pending,Maharashtra
INV1003,119551,2026-03-10,Lumpsum,38717.02,468.892,Pending,Maharashtra
INV1004,120503,2025-10-06,SIP,6255.35,42.312,Verified,Maharashtra
INV1005,125497,2026-03-18,Lumpsum,52740.63,536.984,Verified,Maharashtra
INV1006,119551,2025-07-22,Lumpsum,99635.41,697.627,Verified,Maharashtra
INV1007,120841,2025-09-29,SIP,53928.96,443.839,Pending,Maharashtra
INV1008,119092,2026-03-19,Redemption,87807.36,890.613,Verified,Maharashtra
INV1009,125497,2025-12-12,SIP,85293.26,1034.114,Verified,Maharashtra
INV1010,125497,2025-10-07,Redemption,9155.18,84.308,Verified,Maharashtra
INV1011,120841,2025-08-01,Redemption,72480.3,631.85,Pending,Maharashtra
INV1012,119092,2025-08-13,SIP,89500.75,599.055,Pending,Maharashtra
INV1013,119092,2025-11-13,Lumpsum,59444.57,431.61,Pending,Maharashtra
INV1014,120503,2025-10-31,SIP,87923.68,647.355,Verified,Maharashtra
INV1015,120503,2026-04-27,SIP,33733.88,348.821,Verified,Maharashtra
INV1016,119551,2025-07-04,Redemption,70049.58,751.238,Verified,Maharashtra
INV1017,120503,2026-05-11,Lumpsum,46814.27,330.761,Pending,Maharashtra
INV1018,119551,2026-01-16,Redemption,23248.2,161.885,Pending,Maharashtra
INV1019,118632,2025-10-10,Lumpsum,75785.26,772.466,Pending,Maharashtra
INV1020,119092,2026-05-10,Redemption,98128.02,789.909,Verified,Maharashtra
INV1021,119551,2025-12-19,SIP,78094.62,892.626,Pending,Maharashtra
INV1022,119551,2025-11-04,Lumpsum,34516.28,277.722,Pending,Maharashtra
INV1023,119092,2025-09-20,Lumpsum,94756.14,1033.932,Pending,Maharashtra
INV1024,125497,2025-12-14,Lumpsum,62281.09,748.553,Pending,Maharashtra
INV1025,120841,2025-12-15,Redemption,96903.35,731.481,Verified,Maharashtra
INV1026,118632,2026-06-18,SIP,2701.29,26.315,Verified,Maharashtra
INV1027,120503,2026-04-28,Redemption,44867.32,452.502,Verified,Maharashtra
INV1028,118632,2026-03-18,SIP,85493.87,731.394,Verified,Maharashtra
INV1029,119092,2026-04-11,Lumpsum,77395.87,805.337,Verified,Maharashtra
INV1030,120503,2025-12-12,SIP,96342.05,1172.17,Verified,Maharashtra
INV1031,119092,2025-08-26,SIP,64033.33,593.827,Verified,Maharashtra
INV1032,119092,2025-10-11,Lumpsum,89462.87,930.966,Verified,Maharashtra
INV1033,120503,2025-08-09,SIP,65340.85,617.607,Verified,Maharashtra
INV1034,118632,2025-11-29,Redemption,96835.25,1041.387,Verified,Maharashtra
INV1035,119092,2025-08-20,Redemption,45642.52,389.691,Verified,Maharashtra
INV1036,120503,2025-07-11,SIP,91227.69,617.547,Pending,Maharashtra
INV1037,125497,2025-11-15,Lumpsum,60033.56,490.024,Verified,Maharashtra
INV1038,120841,2025-08-10,Lumpsum,58406.15,590.979,Verified,Maharashtra
INV1039,119092,2025-11-28,SIP,7708.47,71.724,Pending,Maharashtra
INV1040,120841,2026-05-24,Redemption,69650.7,496.765,Pending,Maharashtra
INV1041,125497,2025-10-01,Lumpsum,75041.58,831.812,Verified,Maharashtra
INV1042,120841,2026-01-16,Redemption,50139.37,406.741,Verified,Maharashtra
INV1043,119551,2025-10-26,SIP,52012.31,603.737,Verified,Maharashtra
INV1044,120841,2026-04-09,Lumpsum,39993.87,447.909,Verified,Maharashtra
INV1045,119551,2026-01-02,Lumpsum,80158.38,852.653,Verified,Maharashtra
