amfi_code,date,nav
120001,2022-01-01,88.37
120001,2022-01-02,90.11
120001,2022-01-03,88.33
120001,2022-01-04,89.36
120001,2022-01-05,90.1
120001,2022-01-06,89.15
120001,2022-01-07,90.21
120001,2022-01-08,90.59
120001,2022-01-09,90.28
120001,2022-01-10,89.28
120001,2022-01-11,89.83
120001,2022-01-12,89.24
120001,2022-01-13,88.06
120001,2022-01-14,87.79
120001,2022-01-15,87.43
120001,2022-01-16,87.53
120001,2022-01-17,87.42
120001,2022-01-18,88.52
120001,2022-01-19,89.18
120001,2022-01-20,89.07
120001,2022-01-21,88.31
120001,2022-01-22,89.4
120001,2022-01-23,90.15
120001,2022-01-24,92.59
120001,2022-01-25,92.88
120001,2022-01-26,94.45
120001,2022-01-27,94.93
120001,2022-01-28,95.06
120001,2022-01-29,93.67
120001,2022-01-30,94.39
120001,2022-01-31,93.65
120001,2022-02-01,93.21
120001,2022-02-02,93.22
120001,2022-02-03,93.01
120001,2022-02-04,91.6
120001,2022-02-05,90.92
120001,2022-02-06,91.81
120001,2022-02-07,92.48
120001,2022-02-08,93.17
120001,2022-02-09,93.38
120001,2022-02-10,94.04
120001,2022-02-11,94.32
120001,2022-02-12,94.2
120001,2022-02-13,95.35
120001,2022-02-14,95.16
120001,2022-02-15,94.48
120001,2022-02-16,95.67
120001,2022-02-17,96.9
120001,2022-02-18,95.42
120001,2022-02-19,96.08
120001,2022-02-20,94.16
120001,2022-02-21,95.22
120001,2022-02-22,94.37
120001,2022-02-23,95.16
120001,2022-02-24,94.62
120001,2022-02-25,94.99
120001,2022-02-26,93.72
120001,2022-02-27,93.51
120001,2022-02-28,93.5
120001,2022-03-01,94.44
120001,2022-03-02,96.18
120001,2022-03-03,96.79
120001,2022-03-04,97.13
120001,2022-03-05,96.18
120001,2022-03-06,94.86
120001,2022-03-07,95.09
120001,2022-03-08,95.26
120001,2022-03-09,95.89
120001,2022-03-10,96.62
120001,2022-03-11,97.01
120001,2022-03-12,95.64
120001,2022-03-13,96.54
120001,2022-03-14,96.49
120001,2022-03-15,95.61
120001,2022-03-16,95.26
120001,2022-03-17,93.98
120001,2022-03-18,93.7
120001,2022-03-19,94.45
120001,2022-03-20,94.19
120001,2022-03-21,93.43
120001,2022-03-22,93.23
120001,2022-03-23,93.71
120001,2022-03-24,92.49
120001,2022-03-25,91.59
120001,2022-03-26,91.76
120001,2022-03-27,90.66
120001,2022-03-28,92.46
120001,2022-03-29,92.37
120001,2022-03-30,91.58
120001,2022-03-31,90.87
120001,2022-04-01,90.48
120001,2022-04-02,90.01
120001,2022-04-03,88.17
120001,2022-04-04,89.33
120001,2022-04-05,89.36
120001,2022-04-06,89.38
120001,2022-04-07,90.16
120001,2022-04-08,89.25
120001,2022-04-09,88.62
120001,2022-04-10,89.07
120001,2022-04-11,89.06
120001,2022-04-12,89.41
120001,2022-04-13,89.38
120001,2022-04-14,89.21
120001,2022-04-15,90.53
120001,2022-04-16,91.54
120001,2022-04-17,89.3
120001,2022-04-18,90.67
120001,2022-04-19,92.67
120001,2022-04-20,93.86
120001,2022-04-21,93.71
120001,2022-04-22,93.11
120001,2022-04-23,93.83
120001,2022-04-24,93.3
120001,2022-04-25,93.68
120001,2022-04-26,93.7
120001,2022-04-27,94.89
120001,2022-04-28,94.57
120001,2022-04-29,94.2
120001,2022-04-30,94.6
120001,2022-05-01,96.48
120001,2022-05-02,96.6
